,discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,game_slug,game_end_date,game_start_date,game_location,game_name,game_season,game_year
15226,Sailing,mexico-city-1968,Finn - One Person Dinghy (Heavyweight) men,Open,BRONZE,Athlete,,https://olympics.com/en/athletes/fabio-albarelli,Fabio ALBARELLI,Italy,IT,ITA,mexico-city-1968,1968-10-28T04:00:00Z,1968-10-12T16:00:00Z,Mexico,Mexico City 1968,Summer,1968
15240,Sailing,mexico-city-1968,twoperson keelboat open Star mixed,Open,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/franco-cavallo,Franco CAVALLO,Italy,IT,ITA,mexico-city-1968,1968-10-28T04:00:00Z,1968-10-12T16:00:00Z,Mexico,Mexico City 1968,Summer,1968
15241,Sailing,mexico-city-1968,twoperson keelboat open Star mixed,Open,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/camillo-gargano,Camillo GARGANO,Italy,IT,ITA,mexico-city-1968,1968-10-28T04:00:00Z,1968-10-12T16:00:00Z,Mexico,Mexico City 1968,Summer,1968
15455,Boxing,tokyo-1964,71-75kg men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/franco-valle,Franco VALLE,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15464,Boxing,tokyo-1964,63.5-67kg welterweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/silvano-bertini,Silvano BERTINI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15465,Boxing,tokyo-1964,51kg flyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/fernando-atzori,Fernando ATZORI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15477,Boxing,tokyo-1964,75-81kg lightheavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/cosimo-pinto,Cosimo PINTO,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15483,Boxing,tokyo-1964,81kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/giuseppe-ros,Giuseppe ROS,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15518,Rowing,tokyo-1964,four-oared shell with coxswain men,Men,SILVER,GameTeam,Italy team,,,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15520,Cycling Track,tokyo-1964,Sprint individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/giovanni-pettenella,Giovanni PETTENELLA,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15521,Cycling Track,tokyo-1964,Sprint individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/sergio-bianchetto,Sergio BIANCHETTO,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15524,Cycling Track,tokyo-1964,1km time trial men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/giovanni-pettenella,Giovanni PETTENELLA,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15527,Cycling Track,tokyo-1964,Team Pursuit 4000m men,Men,SILVER,GameTeam,Italy team,,,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15530,Cycling Track,tokyo-1964,Individual Pursuit men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/giorgio-ursi,Giorgio URSI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15532,Cycling Track,tokyo-1964,2000m tandem men,Men,GOLD,GameTeam,Italy team,https://olympics.com/en/athletes/angelo-damiano,Angelo DAMIANO,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15533,Cycling Track,tokyo-1964,2000m tandem men,Men,GOLD,GameTeam,Italy team,https://olympics.com/en/athletes/sergio-bianchetto,Sergio BIANCHETTO,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15538,Cycling Road,tokyo-1964,individual road race men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/mario-zanin,Mario ZANIN,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15542,Cycling Road,tokyo-1964,team time trial men,Men,SILVER,GameTeam,Italy team,,,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15546,Equestrian Jumping,tokyo-1964,team mixed,Open,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15570,Diving,tokyo-1964,10m platform men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/klaus-dibiasi,Klaus DIBIASI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15578,Equestrian Eventing,tokyo-1964,team mixed,Open,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15581,Equestrian Eventing,tokyo-1964,individual mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/mauro-checcoli,Mauro CHECCOLI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15649,Fencing,tokyo-1964,foil individual women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/antonella-ragno-lonzi,Antonella RAGNO-LONZI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15651,Fencing,tokyo-1964,épée team men,Men,SILVER,GameTeam,Italy team,,,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15663,Fencing,tokyo-1964,sabre team men,Men,SILVER,GameTeam,Italy team,,,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15716,Gymnastics Artistic,tokyo-1964,parallel bars men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/franco-menichelli,Franco MENICHELLI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15717,Gymnastics Artistic,tokyo-1964,floor exercises men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/franco-menichelli,Franco MENICHELLI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15724,Gymnastics Artistic,tokyo-1964,rings men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/franco-menichelli,Franco MENICHELLI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15744,Athletics,tokyo-1964,50km walk men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/abdon-pamich,Abdon PAMICH,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15758,Athletics,tokyo-1964,400m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/salvatore-morale,Salvatore MORALE,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
15855,Shooting,tokyo-1964,trap 125 targets men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ennio-mattarelli,Ennio MATTARELLI,Italy,IT,ITA,tokyo-1964,1964-10-24T11:00:00Z,1964-10-09T23:00:00Z,Japan,Tokyo 1964,Summer,1964
16027,Shooting,rome-1960,trap 125 targets men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/galliano-rossini,Galliano ROSSINI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16073,Athletics,rome-1960,50km walk men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/abdon-pamich,Abdon PAMICH,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16106,Athletics,rome-1960,100m women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/giuseppina-leone,Giuseppina LEONE,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16146,Athletics,rome-1960,200m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/livio-berruti,Livio BERRUTI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16155,Cycling Road,rome-1960,team time trial men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16159,Cycling Road,rome-1960,individual road race men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/livio-trape,Livio TRAPE,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16161,Cycling Track,rome-1960,Team Pursuit 4000m men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16164,Cycling Track,rome-1960,1km time trial men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/sante-gaiardoni,Sante GAIARDONI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16167,Cycling Track,rome-1960,Sprint individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/sante-gaiardoni,Sante GAIARDONI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16169,Cycling Track,rome-1960,Sprint individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/valentino-gasparella,Valentino GASPARELLA,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16170,Cycling Track,rome-1960,2000m tandem men,Men,GOLD,GameTeam,Italy team,https://olympics.com/en/athletes/giuseppe-beghetto,Giuseppe BEGHETTO,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16171,Cycling Track,rome-1960,2000m tandem men,Men,GOLD,GameTeam,Italy team,https://olympics.com/en/athletes/sergio-bianchetto,Sergio BIANCHETTO,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16184,Canoe Sprint,rome-1960,C2 1000m canoe double men,Men,SILVER,GameTeam,Italy team,https://olympics.com/en/athletes/aldo-dezi,Aldo DEZI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16185,Canoe Sprint,rome-1960,C2 1000m canoe double men,Men,SILVER,GameTeam,Italy team,https://olympics.com/en/athletes/francesco-la-macchia,Francesco LA MACCHIA,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16242,Gymnastics Artistic,rome-1960,floor exercises men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/franco-menichelli,Franco MENICHELLI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16245,Gymnastics Artistic,rome-1960,Team All-Around Men,Men,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16247,Gymnastics Artistic,rome-1960,parallel bars men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/giovanni-carminucci,Giovanni CARMINUCCI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16254,Rowing,rome-1960,four-oared shell with coxswain men,Men,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16262,Rowing,rome-1960,four without coxswain 4 men,Men,SILVER,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16291,Fencing,rome-1960,épée individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/giuseppe-delfino,Giuseppe DELFINO,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16296,Fencing,rome-1960,sabre individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/wladimiro-calarese,Wladimiro CALARESE,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16298,Fencing,rome-1960,foil team men,Men,SILVER,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16302,Fencing,rome-1960,sabre team men,Men,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16308,Fencing,rome-1960,foil team women,Women,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16312,Fencing,rome-1960,épée team men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16366,Equestrian Jumping,rome-1960,individual mixed,Open,GOLD,Athlete,,https://olympics.com/en/athletes/raimondo-d-inzeo,Raimondo D'INZEO,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16367,Equestrian Jumping,rome-1960,individual mixed,Open,SILVER,Athlete,,https://olympics.com/en/athletes/piero-d-inzeo,Piero D'INZEO,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16371,Equestrian Jumping,rome-1960,team mixed,Open,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16417,Water Polo,rome-1960,water polo men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16424,Boxing,rome-1960,63.5-67kg welterweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/giovanni-benvenuti,Giovanni BENVENUTI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16429,Boxing,rome-1960,67  71kg lightmiddleweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/carmelo-bossi,Carmelo BOSSI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16437,Boxing,rome-1960,51-54kg bantamweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/primo-zamparini,Primo ZAMPARINI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16441,Boxing,rome-1960,57-60kg lightweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/alessandro-lopopolo,Alessandro LOPOPOLO,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16447,Boxing,rome-1960,75-81kg lightheavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/giulio-saraudi,Giulio SARAUDI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16448,Boxing,rome-1960,54-57kg featherweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/francesco-musso,Francesco MUSSO,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16456,Boxing,rome-1960,81kg heavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/francesco-de-piccoli,Francesco DE PICCOLI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16471,Sailing,rome-1960,dragon mixed,Open,BRONZE,GameTeam,Venilia,,,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16500,Weightlifting,rome-1960,56 - 60kg (featherweight) men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/sebastiano-mannironi,Sebastiano MANNIRONI,Italy,IT,ITA,rome-1960,1960-09-11T19:00:00Z,1960-08-25T07:00:00Z,Italy,Rome 1960,Summer,1960
16603,Cycling Road,melbourne-1956,individual road race men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ercole-baldini,Ercole BALDINI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16623,Boxing,melbourne-1956,60-63.5kg lightwelterweigh men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/franco-nenci,Franco NENCI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16633,Boxing,melbourne-1956,81kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/giacomo-bozzano,Giacomo BOZZANO,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16676,Rowing,melbourne-1956,four-oared shell with coxswain men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16717,Sailing,melbourne-1956,twoperson keelboat open Star mixed,Open,SILVER,GameTeam,Merope III,https://olympics.com/en/athletes/agostino-straulino,Agostino STRAULINO,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16718,Sailing,melbourne-1956,twoperson keelboat open Star mixed,Open,SILVER,GameTeam,Merope III,https://olympics.com/en/athletes/nicolo-rode,Nicolo RODE,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16825,Cycling Track,melbourne-1956,Sprint individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/guglielmo-pesenti,Guglielmo PESENTI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16827,Cycling Track,melbourne-1956,1km time trial men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/leandro-faggin,Leandro FAGGIN,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16834,Cycling Track,melbourne-1956,2000m tandem men,Men,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/giuseppe-ogna,Giuseppe OGNA,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16835,Cycling Track,melbourne-1956,2000m tandem men,Men,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/cesare-pinarello,Cesare PINARELLO,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16836,Cycling Track,melbourne-1956,Team Pursuit 4000m men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16844,Wrestling,melbourne-1956,"Heavyweight, Greco-Roman (>87 kilograms) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/adelmo-bulgarelli,Adelmo BULGARELLI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16876,Wrestling,melbourne-1956,"Flyweight, Greco-Roman (≤52 kilograms) Men",Men,SILVER,Athlete,,https://olympics.com/en/athletes/ignazio-fabra,Ignazio FABRA,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16931,Weightlifting,melbourne-1956,90kg heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/alberto-pigaiani,Alberto PIGAIANI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16949,Weightlifting,melbourne-1956,"67.5 - 75kg, (middleweight) men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ermanno-pignatti,Ermanno PIGNATTI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16962,Shooting,melbourne-1956,trap 125 targets men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/galliano-rossini,Galliano ROSSINI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16964,Shooting,melbourne-1956,trap 125 targets men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/alessandro-ciceri,Alessandro CICERI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16974,Fencing,melbourne-1956,foil team men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16980,Fencing,melbourne-1956,pe team men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16983,Fencing,melbourne-1956,pe individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/carlo-pavesi,Carlo PAVESI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16984,Fencing,melbourne-1956,pe individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/giuseppe-delfino,Giuseppe DELFINO,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16985,Fencing,melbourne-1956,pe individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/edoardo-mangiarotti,Edoardo MANGIAROTTI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16987,Fencing,melbourne-1956,foil individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/giancarlo-bergamini,Giancarlo BERGAMINI,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
16988,Fencing,melbourne-1956,foil individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/antonio-spallino,Antonio SPALLINO,Italy,IT,ITA,melbourne-1956,1956-12-08T10:00:00Z,1956-11-21T22:00:00Z,"Australia, Sweden",Melbourne 1956,Summer,1956
17142,Cycling Track,helsinki-1952,1km time trial men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/marino-morettini,Marino MORETTINI,Italy,IT,ITA,helsinki-1952,1952-08-03T07:00:00Z,1952-07-19T07:00:00Z,Finland,Helsinki 1952,Summer,1952
17144,Cycling Track,helsinki-1952,Sprint individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/enzo-sacchi,Enzo SACCHI,Italy,IT,ITA,helsinki-1952,1952-08-03T07:00:00Z,1952-07-19T07:00:00Z,Finland,Helsinki 1952,Summer,1952
17151,Cycling Track,helsinki-1952,2000m tandem men,Men,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/antonio-maspes,Antonio MASPES,Italy,IT,ITA,helsinki-1952,1952-08-03T07:00:00Z,1952-07-19T07:00:00Z,Finland,Helsinki 1952,Summer,1952
17152,Cycling Track,helsinki-1952,2000m tandem men,Men,BRONZE,GameTeam,Italy team,https://olympics.com/en/athletes/cesare-pinarello,Cesare PINARELLO,Italy,IT,ITA,helsinki-1952,1952-08-03T07:00:00Z,1952-07-19T07:00:00Z,Finland,Helsinki 1952,Summer,1952
17153,Cycling Track,helsinki-1952,Team Pursuit 4000m men,Men,GOLD,GameTeam,Italy team,,,Italy,IT,ITA,helsinki-1952,1952-08-03T07:00:00Z,1952-07-19T07:00:00Z,Finland,Helsinki 1952,Summer,1952
17160,Athletics,helsinki-1952,discus throw men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/adolfo-consolini,Adolfo CONSOLINI,Italy,IT,ITA,helsinki-1952,1952-08-03T07:00:00Z,1952-07-19T07:00:00Z,Finland,Helsinki 1952,Summer,1952
17192,Athletics,helsinki-1952,50km walk men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/giuseppe-dordoni,Giuseppe DORDONI,Italy,IT,ITA,helsinki-1952,1952-08-03T07:00:00Z,1952-07-19T07:00:00Z,Finland,Helsinki 1952,Summer,1952
